Strain,Type,Effects
Bog-Bubble,hybrid,"Uplifted,Happy,Relaxed,Creative,Hungry"
Bsc,hybrid,"Relaxed,Happy,Hungry,Euphoric,Giggly"
Bad-Azz-Kush,hybrid,None
Bakerstreet,indica,"Euphoric,Relaxed,Giggly,Happy,Sleepy"
Balmoral,hybrid,"Relaxed,Happy,Uplifted,Focused,Talkative"
Banana-Candy,indica,"Relaxed,Euphoric,Uplifted,Creative,Happy"
Banana-Cream-Og,hybrid,"Relaxed,Creative,Tingly,Uplifted,Focused"
Banana-Diesel,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Giggly"
Banana-Kush,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Talkative"
Banana-Og,hybrid,"Relaxed,Happy,Hungry,Euphoric,Sleepy"
Banana-Peel,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Sleepy"
Bananas,hybrid,"Relaxed,Energetic,Happy,Uplifted,Focused"
Bandana,hybrid,"Euphoric,Happy,Relaxed,Talkative,Creative"
Bangi-Haze,sativa,"Aroused,Uplifted,Euphoric,Hungry"
Bango,hybrid,"Uplifted,Creative,Energetic,Euphoric,Focused"
Barbara-Bud,indica,"Relaxed,Euphoric,Happy,Hungry,Uplifted"
Batgirl,hybrid,"Euphoric,Relaxed"
Batman-Og,indica,"Sleepy,Hungry,Happy,Relaxed,Giggly"
Bay-11,sativa,"Happy,Relaxed,Uplifted,Energetic,Creative"
Bay-Dream,sativa,"Relaxed,Happy,Euphoric,Uplifted,Focused"
Bear-Dance,hybrid,"Uplifted,Euphoric,Giggly,Happy,Energetic"
Beast-Mode-20,indica,"Relaxed,Sleepy,Tingly,Happy,Euphoric"
Beast-Mode-Og,hybrid,"Relaxed,Euphoric,Uplifted,Talkative,Happy"
Bedford-Glue,hybrid,"Happy,Uplifted,Euphoric,Giggly,Relaxed"
Bedica,indica,"Relaxed,Sleepy,Hungry,Focused,Euphoric"
Bediol,sativa,"Relaxed,Talkative,Happy,Focused,Uplifted"
Bell-Ringer,indica,"Relaxed,Sleepy,Euphoric,Hungry,Happy"
Belladonna,hybrid,"Happy,Sleepy,Giggly,Euphoric,Uplifted"
Berkeley,sativa,"Talkative,Happy,Uplifted,Energetic,Focused"
Bermuda-Sour,hybrid,"Uplifted,Hungry,Relaxed,Energetic,Focused"
Berry-Bomb,hybrid,"Relaxed,Happy,Euphoric,Tingly,Sleepy"
Berry-Larry,hybrid,"Relaxed,Uplifted,Creative,Euphoric,Talkative"
Berry-Noir,indica,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
Berry-Og,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Sleepy"
Berry-White,indica,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
Berts-Cookie-Dough,hybrid,"Uplifted,Energetic,Happy,Hungry"
Bertberry-Cheesecake,sativa,"Uplifted,Creative,Euphoric,Focused,Energetic"
Bettie-Page,hybrid,"Creative,Uplifted,Energetic,Euphoric,Relaxed"
Bianca,hybrid,"Relaxed,Sleepy,Euphoric,Focused,Creative"
Biddy-Early,hybrid,"Creative,Euphoric,Focused,Uplifted,Energetic"
Big-Band,hybrid,"Relaxed,Happy,Euphoric,Hungry,Talkative"
Big-Bang,indica,"Relaxed,Sleepy,Happy,Euphoric,Aroused"
Big-Bud,indica,"Relaxed,Euphoric,Sleepy,Happy,Tingly"
Big-Budda-Cheese,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Giggly"
Big-Holy-Nina,hybrid,"Talkative,Uplifted,Euphoric,Happy,Relaxed"
Big-Kush,hybrid,"Uplifted,Relaxed,Euphoric,Creative,Focused"
Big-Mac,indica,"Relaxed,Aroused,Sleepy,Talkative,Tingly"
Big-Skunk-Korean,hybrid,"Talkative,Uplifted,Creative,Energetic,Hungry"
Big-Sky-Og,hybrid,"Relaxed,Tingly,Uplifted,Hungry,Sleepy"
Big-Smooth,hybrid,"Happy,Relaxed,Giggly,Uplifted,Aroused"
Big-Sur-Holy-Bud,sativa,"Relaxed,Uplifted,Focused,Euphoric,Energetic"
Big-White,indica,"Relaxed,Uplifted,Happy,Sleepy,Euphoric"
Big-Wreck,indica,"Relaxed,Tingly,Euphoric,Happy,Uplifted"
Biker-Leblanc,hybrid,"Relaxed,Focused,Energetic,Euphoric,Aroused"
Bio-Diesel,hybrid,"Euphoric,Happy,Relaxed,Energetic,Uplifted"
Bio-Jesus,hybrid,"Happy,Relaxed,Euphoric,Sleepy,Uplifted"
Biochem,indica,"Relaxed,Euphoric,Tingly,Sleepy,Happy"
Birds-Eye,sativa,"Happy,Uplifted,Energetic,Euphoric,Relaxed"
Birthday-Cake-Kush,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Black-84,indica,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Black-Afghan,indica,"Relaxed,Sleepy,Hungry,Happy,Euphoric"
Black-Betty,hybrid,"Euphoric,Relaxed,Happy,Uplifted,Energetic"
Black-Bubba,indica,"Happy,Relaxed,Sleepy,Tingly,Euphoric"
Black-Cherry-Cheesecake,hybrid,"Creative,Relaxed,Euphoric,Hungry,Uplifted"
Black-Cherry-Og,indica,"Relaxed,Uplifted,Happy,Giggly,Euphoric"
Black-Cherry-Pie,hybrid,"Relaxed,Uplifted,Creative,Euphoric,Happy"
Black-Cherry-Soda,hybrid,"Relaxed,Happy,Euphoric,Hungry,Uplifted"
Black-Dhalia,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
Black-Diamond,indica,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Black-Diesel,sativa,"Relaxed,Happy,Hungry,Talkative,Euphoric"
Black-Domina,indica,"Relaxed,Euphoric,Happy,Sleepy,Uplifted"
Black-Haze,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Focused"
Black-Ice,indica,"Relaxed,Sleepy,Happy,Hungry,Tingly"
Black-Jack,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Talkative"
Black-Label-Kush,indica,"Euphoric,Relaxed,Sleepy,Uplifted,Focused"
Black-Larry-Bird,indica,"Tingly,Uplifted,Creative,Euphoric,Focused"
Black-Lime-Special-Reserve,indica,"Relaxed,Happy,Euphoric,Tingly,Sleepy"
Black-Magic,hybrid,"Happy,Relaxed,Uplifted,Euphoric"
Black-Magic-Kush,indica,"Happy,Relaxed,Sleepy,Hungry,Talkative"
Black-Mamba,indica,"Happy,Relaxed,Euphoric,Uplifted,Talkative"
Black-Roses,indica,"Relaxed,Sleepy,Uplifted,Euphoric,Focused"
Black-Russian,indica,"Relaxed,Sleepy,Uplifted,Happy,Hungry"
Black-Tuna,hybrid,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Black-Velvet,hybrid,"Sleepy,Happy,Hungry,Relaxed,Euphoric"
Black-Widow,hybrid,"Happy,Relaxed,Euphoric,Sleepy,Uplifted"
Blackberry,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
Blackberry-Bubble,indica,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Blackberry-Chem-Og,hybrid,"Talkative,Creative,Focused,Relaxed,Euphoric"
Blackberry-Cream,indica,"Relaxed,Happy,Uplifted,Sleepy,Euphoric"
Blackberry-Diesel,sativa,"Happy,Energetic,Relaxed,Euphoric,Talkative"
Blackberry-Dream,hybrid,"Happy,Energetic,Uplifted,Relaxed,Talkative"
Blackberry-Fire,hybrid,"Creative,Happy"
Blackberry-Hashplant,indica,"Euphoric,Sleepy,Uplifted,Energetic,Happy"
