Strain,Type,Effects
Blueberry-Pancakes,hybrid,"Relaxed,Sleepy,Hungry,Happy,Euphoric"
Blueberry-Pie,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Blueberry-Silvertip,hybrid,"Happy,Uplifted,Giggly,Relaxed,Euphoric"
Blueberry-Skunk,indica,"Euphoric,Relaxed,Uplifted,Creative,Happy"
Blueberry-Space-Cake,indica,"Euphoric,Relaxed,Tingly,Happy,Giggly"
Blueberry-Trainwreck,hybrid,"Happy,Uplifted,Energetic,Focused,Relaxed"
Blueberry-Triple-Og,indica,"Sleepy,Tingly,Euphoric,Relaxed,Uplifted"
Blueberry-Waltz,indica,"Talkative,Uplifted,Euphoric,Happy,Giggly"
Blueberry-Yum-Yum,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Giggly"
Blues,hybrid,"Happy,Relaxed,Uplifted,Creative,Sleepy"
Blukashima,hybrid,Creative
Bluniverse,hybrid,"Euphoric,Uplifted,Happy,Tingly,Creative"
Blurple,hybrid,"Happy,Euphoric,Energetic,Hungry,Focused"
Blush,hybrid,"Talkative,Creative,Happy,Hungry,Relaxed"
Bob-Saget,sativa,"Uplifted,Happy,Relaxed,Creative,Talkative"
Bodega-Bubblegum,hybrid,"Uplifted,Creative,Euphoric,Giggly,Happy"
Bogart,hybrid,"Happy,Talkative,Uplifted,Euphoric,Giggly"
Boggle-Gum,hybrid,"Happy,Relaxed,Hungry,Sleepy,Giggly"
Booger,hybrid,"Happy,Focused,Uplifted,Creative,Giggly"
Boombaye,hybrid,None
Bootlegger,hybrid,"Sleepy,Giggly,Hungry,Tingly,Happy"
Bordello,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Creative"
Boss-Hogg,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Boysenberry,hybrid,"Giggly,Relaxed,Talkative,Energetic,Euphoric"
Brain-Candy,hybrid,Creative
Brains-Damage,indica,"Euphoric,Focused,Relaxed,Sleepy,Hungry"
Brainstorm-Haze,sativa,"Talkative,Happy,Uplifted,Focused,Energetic"
Brainwreck,hybrid,"Creative,Focused,Uplifted,Happy,Euphoric"
Brand-X,indica,"Sleepy,Relaxed,Hungry,Happy,Euphoric"
Brandywine,indica,"Relaxed,Happy,Uplifted,Tingly,Euphoric"
Brazil-Amazonia,sativa,"Uplifted,Euphoric,Focused,Happy,Relaxed"
Brian-Berry-Cough,hybrid,"Happy,Uplifted,Relaxed,Energetic,Hungry"
Bright-Fire,indica,"Hungry,Relaxed,Uplifted,Creative,Euphoric"
Bright-Moments,hybrid,"Tingly,Uplifted,Sleepy,Giggly,Happy"
Broke-Diesel,hybrid,"Uplifted,Euphoric,Creative,Energetic,Happy"
Bronze-Whaler,indica,"Hungry,Relaxed"
Brooklyn-Mango,hybrid,"Euphoric,Aroused,Uplifted,Happy,Talkative"
Bruce-Banner,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Creative"
Bruce-Banner-3,hybrid,"Euphoric,Relaxed,Happy,Uplifted,Energetic"
Bubba-Berry,indica,"Sleepy,Happy,Relaxed"
Bubba-Doja,indica,None
Bubba-Fresh,hybrid,"Aroused,Sleepy,Tingly,Uplifted,Creative"
Bubba-Hash,indica,Uplifted
Bubba-Kush,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Bubba-Og,indica,"Happy,Relaxed,Sleepy,Euphoric,Uplifted"
Bubba-Tom-Hayes,hybrid,"Euphoric,Happy,Uplifted,Creative,Talkative"
Bubba-X-Skunk,hybrid,"Creative,Euphoric,Relaxed,Happy,Tingly"
Bubbas-Bitch,indica,"Sleepy,Tingly,Uplifted,Hungry,Relaxed"
Bubbas-Gift,indica,"Relaxed,Euphoric,Happy,Uplifted,Focused"
Bubble-Cheese,indica,"Relaxed,Hungry,Sleepy,Tingly,Talkative"
Bubble-Gum,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Hungry"
Bubbleberry,hybrid,"Happy,Relaxed,Focused,Uplifted,Hungry"
Bubblegum-Kush,indica,"Relaxed,Happy,Sleepy,Uplifted,Talkative"
Bubblegun,hybrid,"Happy,Focused,Aroused,Talkative,Uplifted"
Bubblicious,hybrid,"Happy,Relaxed,Talkative,Giggly,Uplifted"
Buckeye-Purple,indica,"Sleepy,Relaxed,Euphoric,Focused,Happy"
Buddha-Haze,sativa,"Giggly,Happy,Uplifted,Euphoric,Talkative"
Buddha-Tahoe,indica,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Buddhas-Hand,hybrid,"Focused,Euphoric,Energetic,Aroused,Uplifted"
Buddhas-Sister,indica,"Relaxed,Sleepy,Uplifted,Happy,Euphoric"
Buffalo-Bill,sativa,"Relaxed,Uplifted,Tingly,Euphoric,Happy"
Bugatti-Og,hybrid,"Relaxed,Happy,Uplifted,Hungry,Sleepy"
Burkle,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Burmese-Kush,hybrid,"Uplifted,Relaxed,Happy,Euphoric,Creative"
Burnt-Cookies,hybrid,"Talkative,Uplifted,Relaxed"
Butter-Og,indica,"Relaxed,Sleepy,Happy,Euphoric,Giggly"
Butterscotch,indica,"Relaxed,Euphoric,Focused,Creative,Sleepy"
C13-Haze,sativa,"Euphoric,Creative,Uplifted,Energetic,Giggly"
C3,hybrid,"Talkative,Euphoric,Giggly,Happy,Relaxed"
C3Po,hybrid,"Relaxed,Hungry,Sleepy,Focused,Uplifted"
C4,hybrid,"Relaxed,Happy,Euphoric,Creative,Uplifted"
Cbd-Blue-Shark,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric"
Cbd-Critical-Cure,indica,"Relaxed,Sleepy,Happy,Focused,Euphoric"
Cbd-Critical-Mass,indica,"Relaxed,Happy,Sleepy,Hungry,Uplifted"
Cbd-Kush,hybrid,"Relaxed,Happy,Focused,Uplifted,Euphoric"
Cbd-Lilly,sativa,"Focused,Happy,Sleepy,Energetic,Euphoric"
Cbd-Mango-Haze,sativa,"Focused,Relaxed,Uplifted,Energetic,Euphoric"
Cbd-Ox,indica,"Aroused,Sleepy,Happy,Euphoric,Hungry"
Cbd-Rich-Blessing,sativa,"Aroused,Uplifted,Focused,Happy,Relaxed"
Cbd-Shark,indica,"Relaxed,Tingly,Happy,Sleepy,Euphoric"
Chr-Super-Og,indica,"Relaxed,Giggly,Sleepy,Happy,Talkative"
Cabbage-Patch,hybrid,"Relaxed,Happy,Uplifted,Giggly,Energetic"
Cackleberry,hybrid,"Talkative,Uplifted,Happy,Euphoric,Giggly"
Cactus,indica,"Euphoric,Happy,Uplifted,Relaxed,Hungry"
Cactus-Cooler,hybrid,"Creative,Euphoric,Focused,Happy,Energetic"
Cadillac-Purple,indica,"Relaxed,Sleepy,Tingly,Happy,Hungry"
Cali-Gold,hybrid,"Uplifted,Relaxed,Happy,Sleepy,Euphoric"
Cali-Jack,hybrid,"Creative,Happy,Talkative,Uplifted,Euphoric"
Cali-Kush,hybrid,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
California-Grapefruit,indica,"Euphoric,Relaxed,Tingly,Talkative,Uplifted"
California-Hash-Plant,indica,"Uplifted,Creative,Energetic,Giggly,Happy"
California-Orange,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Giggly"
California-Sour,hybrid,"Focused,Relaxed,Euphoric,Energetic,Uplifted"
Calyx-Og,hybrid,None
Cambodian,sativa,"Energetic,Talkative,Happy,Relaxed,Uplifted"
Cambodian-Haze,sativa,"Euphoric,Happy,Aroused,Creative,Relaxed"
Candy-Cane,indica,"Relaxed,Sleepy,Euphoric,Hungry,Happy"
Candy-Jack,sativa,"Happy,Energetic,Euphoric,Creative,Focused"
Candyland,sativa,"Happy,Uplifted,Energetic,Euphoric,Creative"
Canna-Tsu,hybrid,"Relaxed,Happy,Focused,Uplifted,Creative"
Cannasutra,indica,"Relaxed,Euphoric,Sleepy,Happy,Aroused"
Cannadential,hybrid,"Euphoric,Happy,Relaxed,Uplifted,Energetic"
Cannalope-Haze,sativa,"Happy,Relaxed,Energetic,Uplifted,Creative"
Cannalope-Kush,hybrid,"Uplifted,Happy,Relaxed,Euphoric,Focused"
Cannatonic,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric"
Capers,indica,"Sleepy,Happy,Hungry,Relaxed,Uplifted"
Capleton,hybrid,"Sleepy,Tingly,Euphoric,Giggly,Happy"
Captain-America-Og,hybrid,"Relaxed,Uplifted,Euphoric,Creative,Happy"
Captains-Cake,hybrid,"Euphoric,Relaxed,Energetic,Happy,Focused"
Caramel-Candy-Kush,hybrid,"Relaxed,Happy,Focused,Creative,Talkative"
Caramel-Kona-Coffee-Cookies,hybrid,"Aroused,Talkative,Uplifted,Creative,Energetic"
Caramel-Kona-Coffee-Kush,indica,"Relaxed,Uplifted,Tingly,Hungry,Happy"
Caramelicious,hybrid,"Focused,Happy,Relaxed,Euphoric,Creative"
Caramella,indica,"Aroused,Euphoric,Relaxed"
Caramelo,sativa,"Energetic,Happy,Uplifted,Relaxed,Talkative"
Carl-Sagan,hybrid,"Happy,Relaxed,Uplifted,Focused,Aroused"
Carnival,sativa,"Talkative,Uplifted,Happy,Energetic,Relaxed"
Cascadia-Kush,indica,"Relaxed,Tingly,Sleepy,Aroused,Uplifted"
Casey-Jones,sativa,"Uplifted,Happy,Energetic,Creative,Hungry"
Cashus-Clay,hybrid,"Uplifted,Euphoric,Happy,Talkative,Energetic"
Casper-Og,indica,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted"
Cat-Piss,sativa,"Happy,Uplifted,Euphoric,Relaxed,Talkative"
Cataract-Kush,hybrid,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
Catfish,sativa,"Uplifted,Creative,Energetic,Euphoric,Happy"
Cello-Sweet-Og,hybrid,"Sleepy,Relaxed,Uplifted,Creative,Euphoric"
Central-American,sativa,"Relaxed,Euphoric,Happy,Hungry"
Cerebro-Haze,sativa,"Uplifted,Happy,Relaxed,Creative,Energetic"
Chairman-Chem-Sou,hybrid,"Energetic,Happy,Uplifted,Creative,Euphoric"
Champagne-Kush,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Talkative"
Charlie-Sheen,hybrid,"Happy,Euphoric,Relaxed,Sleepy,Focused"
Charlottes-Web,sativa,"Relaxed,Uplifted,Focused,Happy,Energetic"
Cheese,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Cheese-Candy,hybrid,"Relaxed,Uplifted,Happy,Sleepy,Creative"
Cheese-Quake,hybrid,"Euphoric,Uplifted,Relaxed,Tingly,Happy"
Cheeseburger,hybrid,"Tingly,Uplifted,Relaxed,Aroused,Creative"
Cheesewreck,hybrid,"Happy,Relaxed,Uplifted,Creative,Euphoric"
Chem-Crush,hybrid,"Talkative,Energetic,Happy,Creative,Uplifted"
Chem-Dog,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Chem-Jack,hybrid,"Talkative,Uplifted,Creative,Happy,Aroused"
Chem-Jong-Ill,hybrid,"Uplifted,Creative,Happy,Talkative,Energetic"
Chem-Scout,indica,"Relaxed,Euphoric,Focused,Happy,Creative"
Chem-Valley-Kush,hybrid,"Relaxed,Euphoric,Happy,Tingly,Sleepy"
Chems-Sister,sativa,"Creative,Euphoric,Happy,Focused,Relaxed"
Chemwreck,hybrid,"Uplifted,Talkative,Happy,Relaxed,Energetic"
Chemdawg,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Chemdawg-4-X-Alien-Og-Kush,hybrid,"Relaxed,Energetic,Happy,Euphoric,Creative"
Chemdawg-4,hybrid,"Relaxed,Euphoric,Happy,Hungry,Uplifted"
Chemdawg-91,hybrid,"Euphoric,Uplifted,Relaxed,Happy,Tingly"
Chemdawg-Sour-Diesel,hybrid,"Uplifted,Happy,Euphoric,Relaxed,Energetic"
Chemmy-Jones,hybrid,"Happy,Relaxed,Euphoric,Creative,Uplifted"
Chemnesia,hybrid,"Uplifted,Euphoric,Relaxed,Happy,Energetic"
Chemo,indica,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
Cherwillie,hybrid,"Creative,Energetic,Happy,Relaxed,Focused"
Chernobyl,hybrid,"Happy,Euphoric,Relaxed,Energetic,Uplifted"
Cherries-Jubilee,indica,"Euphoric,Uplifted,Relaxed,Happy,Creative"
Cherry-Ak-47,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused"
Cherry-Bomb,hybrid,"Focused,Talkative,Happy,Uplifted,Relaxed"
Cherry-Cookies,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Focused"
Cherry-Cream-Pie,hybrid,"Relaxed,Euphoric,Creative,Energetic,Uplifted"
Cherry-Diesel,hybrid,"Relaxed,Euphoric,Energetic,Happy,Uplifted"
Cherry-Durban-Poison,hybrid,"Uplifted,Giggly,Sleepy,Aroused,Euphoric"
Cherry-Fire,hybrid,"Creative,Sleepy,Euphoric,Happy,Relaxed"
Cherry-Grapefruit,hybrid,"Creative,Happy,Relaxed,Tingly,Uplifted"
Cherry-Kola,indica,"Relaxed,Euphoric,Happy,Giggly,Tingly"
Cherry-Kush,hybrid,"Relaxed,Uplifted,Euphoric,Happy,Creative"
Cherry-Limeade,hybrid,"Relaxed,Euphoric,Happy,Tingly,Uplifted"
Cherry-Og,hybrid,"Euphoric,Relaxed,Happy,Uplifted,Hungry"
Cherry-Pie,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Focused"
Cherry-Pie-Kush,hybrid,"Happy,Relaxed,Euphoric,Giggly,Sleepy"
Cherry-Sauce,hybrid,"Talkative,Tingly,Uplifted,Creative,Energetic"
Cherry-Sherbet,hybrid,"Sleepy,Giggly,Aroused,Talkative,Tingly"
Cherry-Skunk,hybrid,"Relaxed,Happy,Uplifted,Aroused,Hungry"
Cherry-Slyder,hybrid,"Focused,Uplifted,Happy,Relaxed"
Cherry-Thunder-Fuck,hybrid,"Uplifted,Happy,Energetic,Euphoric,Focused"
Chicle,hybrid,"Aroused,Euphoric,Focused,Happy,Hungry"
Chiesel,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Focused"
China-Yunnan,indica,"Uplifted,Happy,Relaxed,Euphoric,Sleepy"
Chiquita-Banana,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Creative"
Chloe,hybrid,"Creative,Euphoric,Uplifted,Talkative,Focused"
Chocoholic,hybrid,"Aroused,Sleepy,Tingly,Uplifted,Euphoric
"
Chocolate-Chunk,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Chocolate-Diesel,sativa,"Euphoric,Energetic,Happy,Creative,Uplifted"
Chocolate-Drop,hybrid,"Uplifted,Euphoric,Giggly,Happy,Relaxed"
Chocolate-Fondue,sativa,"Uplifted,Relaxed,Happy,Euphoric,Focused"
Chocolate-Hashberry,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Chocolate-Kush,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry"
Chocolate-Meringue,indica,"Euphoric,Uplifted,Happy
"
Chocolate-Og,indica,"Relaxed,Uplifted,Euphoric,Aroused,Tingly"
Chocolate-Rain,hybrid,"Creative,Happy,Talkative,Uplifted,Energetic"
Chocolate-Sap,hybrid,"Talkative,Uplifted,Energetic,Happy,Euphoric"
Chocolate-Thai,sativa,"Uplifted,Happy,Energetic,Focused,Creative"
Chocolate-Thunder,sativa,"Uplifted,Creative,Happy,Energetic,Focused"
Chocolate-Tonic,hybrid,"Relaxed,Hungry,Sleepy
"
Chocolope,sativa,"Happy,Uplifted,Energetic,Focused,Euphoric"
Chocolope-Kush,hybrid,"Happy,Creative,Focused,Uplifted,Euphoric"
Chong-Star,hybrid,"Relaxed,Happy,Uplifted,Creative,Euphoric"
Chronic,hybrid,"Relaxed,Happy,Giggly,Euphoric,Energetic"
Chronic-Thunder,indica,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
Chuckys-Bride,hybrid,"Giggly,Happy,Energetic,Euphoric,Talkative"
Chunky-Diesel,hybrid,"Energetic,Relaxed,Euphoric,Uplifted,Happy"
Chupacabra,hybrid,"Focused,Relaxed,Happy,Uplifted,Energetic"
Church-Og,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Cinderella-99,hybrid,"Euphoric,Uplifted,Happy,Energetic,Relaxed"
Cinderellas-Dream,hybrid,"Euphoric,Uplifted,Energetic,Focused,Creative"
Cindy-White,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Talkative"
Cinex,sativa,"Energetic,Uplifted,Happy,Focused,Euphoric"
Cirrus,sativa,"Uplifted,Happy,Talkative,Euphoric,Creative"
Citrix,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Energetic"
Citrus-Kush,hybrid,"Relaxed,Happy,Euphoric,Tingly,Uplifted"
Citrus-Punch,sativa,"Uplifted,Happy,Relaxed,Euphoric,Giggly"
Citrus-Sap,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Energetic"
Citrus-Sunshine-Haze,hybrid,"Happy,Uplifted,Focused,Creative,Energetic"
Clementine,sativa,"Happy,Energetic,Focused,Uplifted,Euphoric"
Clementine-Kush,hybrid,"Happy,Euphoric,Relaxed,Giggly,Tingly"
Clementines-Terpentine,hybrid,"Aroused,Uplifted,Creative,Focused,Happy"
Clockwork-Orange,hybrid,"Relaxed,Happy,Uplifted,Hungry,Aroused"
Cloud-9,hybrid,"Euphoric,Energetic,Happy,Giggly,Relaxed"
Club-69,indica,"Sleepy,Relaxed"
Cluster-Bomb,hybrid,"Euphoric,Focused,Relaxed,Sleepy,Uplifted"
Coconut-Oil,hybrid,"Aroused,Happy,Relaxed,Uplifted,Creative"
Cold-Creek-Kush,hybrid,"Relaxed,Happy,Hungry,Euphoric,Uplifted"
Colombian-Gold,sativa,"Happy,Euphoric,Energetic,Uplifted,Talkative"
Colombian-Mojito,sativa,"Aroused,Talkative,Tingly,Uplifted,Creative"
Colorado-Bubba,indica,"Relaxed,Happy,Sleepy,Uplifted,Creative"
Colorado-Chem,hybrid,"Relaxed,Uplifted,Euphoric,Happy,Tingly"
Colorado-Clementines,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Commerce-City-Kush,indica,"Relaxed,Sleepy,Euphoric,Happy,Talkative"
Concord-Grape-Blockhead,hybrid,"Creative,Euphoric,Giggly,Happy,Relaxed"
Confidential-Cheese,indica,"Sleepy,Uplifted,Relaxed,Tingly,Happy"
Confidential-Wreck,hybrid,"Hungry,Relaxed,Tingly,Uplifted,Creative"
Congo,sativa,"Uplifted,Energetic,Euphoric,Happy,Talkative"
Connie-Chung,hybrid,"Uplifted,Relaxed,Happy,Sleepy,Creative"
Conspiracy-Kush,indica,"Relaxed,Happy,Sleepy,Uplifted,Giggly"
Cookie-Breath,hybrid,"Happy,Relaxed,Uplifted,Giggly,Euphoric"
Cookie-Dough,hybrid,"Relaxed,Happy,Euphoric,Giggly,Hungry"
Cookie-Jar,hybrid,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted"
Cookie-Monster,indica,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
Cookie-Wreck,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Focused"
Cookies-Kush,indica,"Relaxed,Happy,Euphoric,Hungry,Sleepy"
Cookies-And-Cream,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy"
Cookies-And-Dream,hybrid,"Uplifted,Relaxed,Happy,Euphoric,Giggly"
Copper-Kush,indica,"Relaxed,Euphoric,Happy,Uplifted,Tingly"
Corleone-Kush,indica,"Relaxed,Euphoric,Happy,Hungry,Sleepy"
Cornbread,indica,"Relaxed,Euphoric,Hungry,Happy,Sleepy"
Cosmic-Collision,sativa,"Uplifted,Energetic,Talkative,Euphoric,Relaxed"
Cotton-Candy-Kush,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
Cotton-Purple-Chem,hybrid,"Relaxed,Uplifted,Euphoric,Happy,Tingly"
Cowboy-Kush,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Creative"
Cracker-Jack,sativa,"Energetic,Creative,Focused,Happy,Euphoric"
Crater-Lake,hybrid,"Happy,Uplifted,Talkative,Relaxed,Creative"
Crazy-Miss-Hyde,hybrid,"Uplifted,Happy,Euphoric,Relaxed,Creative"
Cream-Caramel,indica,"Relaxed,Happy,Sleepy,Tingly,Focused"
Crimea-Blue,hybrid,"Happy,Uplifted,Euphoric,Sleepy,Creative"
Critical-47,hybrid,"Relaxed,Sleepy,Happy,Giggly,Talkative"
Critical-Bilbo,hybrid,"Relaxed,Happy,Hungry,Sleepy,Euphoric"
Critical-Cheese,hybrid,"Euphoric,Focused,Happy,Relaxed,Energetic"
Critical-Haze,hybrid,"Relaxed,Happy,Uplifted,Hungry,Giggly"
Critical-Hog,indica,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Critical-Jack,hybrid,"Energetic,Creative,Happy,Focused,Uplifted"
Critical-Kali-Mist,sativa,"Creative,Focused,Uplifted,Happy,Euphoric"
Critical-Kush,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted"
Critical-Mass,indica,"Relaxed,Happy,Sleepy,Euphoric,Hungry"
Critical-Plus,hybrid,"Relaxed,Happy,Hungry,Sleepy,Creative"
Critical-Plus-20,indica,"Happy,Relaxed,Uplifted,Euphoric,Aroused"
Critical-Sensi-Star,indica,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
Critical-Skunk,hybrid,"Happy,Relaxed,Creative,Hungry,Aroused"
Critical-Widow,hybrid,"Relaxed,Euphoric,Uplifted,Focused,Sleepy"
Critters-Cookies,hybrid,"Uplifted,Tingly,Relaxed,Euphoric,Aroused"
Cronuts,hybrid,"Relaxed,Focused,Uplifted,Energetic,Euphoric"
Crosswalker,indica,"Relaxed,Happy,Euphoric,Uplifted,Creative"
Crouching-Tiger-Hidden-Alien,indica,"Relaxed,Happy,Euphoric,Tingly,Uplifted"
Crown-Og,indica,"Relaxed,Happy,Sleepy,Uplifted,Euphoric"
Crown-Royale,indica,"Relaxed,Happy,Euphoric,Sleepy,Aroused"
Crunch-Berry-Kush,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Crypt,hybrid,"Relaxed,Euphoric,Focused,Happy,Uplifted"
Crystal-Coma,sativa,"Happy,Uplifted,Euphoric,Focused,Creative"
Crystal-Gayle,hybrid,"Focused,Creative,Euphoric,Happy,Hungry"
Crystalberry,indica,"Aroused,Relaxed,Uplifted,Giggly,Happy"
Cuvee,indica,"Euphoric,Happy,Relaxed,Giggly,Tingly"
Dj-Andy-Williams,sativa,"Creative,Energetic"
Dj-Short-Blueberry,indica,"Relaxed,Euphoric,Happy,Uplifted,Sleepy"
Dj-Smoke,hybrid,"Euphoric,Relaxed,Aroused,Talkative,Uplifted"
Dairy-Queen,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Creative"
Dakini-Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Giggly"
Damn-Sour,sativa,"Hungry,Happy,Tingly,Uplifted,Creative"
Damnesia,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Energetic"
Dance-World,sativa,"Happy,Relaxed,Uplifted,Euphoric,Talkative"
Dancehall,hybrid,"Happy,Relaxed,Uplifted,Energetic,Creative"
Dank-Schrader,indica,"Relaxed,Happy,Uplifted,Euphoric,Hungry"
Dank-Sinatra,hybrid,"Happy,Uplifted,Relaxed,Sleepy,Euphoric"
Double-D,indica,"Euphoric,Happy,Uplifted,Aroused,Energetic"
Dark-Blue-Dream,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Giggly"
Dark-Side-Of-The-Moon,indica,"Relaxed,Sleepy,Euphoric,Happy,Uplifted"
Dark-Star,indica,"Relaxed,Sleepy,Happy,Hungry,Euphoric"
Darkside-Og,indica,"Sleepy,Relaxed,Euphoric,Hungry,Happy"
Darth-Vader-Og,indica,"Relaxed,Sleepy,Euphoric,Hungry,Tingly"
Dawgs-Waltz,hybrid,"Euphoric,Relaxed,Uplifted,Happy,Sleepy"
Dawgfather-Og,hybrid,"Sleepy,Relaxed"
Day-Tripper,hybrid,"Uplifted,Euphoric,Happy,Relaxed,Sleepy"
Deadhead-Og,hybrid,"Uplifted,Relaxed,Happy,Euphoric,Creative"
Deadwood,indica,"Happy,Talkative,Uplifted,Giggly,Relaxed"
Death-Bubba,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Death-Star,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Deathstar-Og,indica,"Relaxed,Happy,Sleepy,Euphoric,Tingly"
Deep-Cheese,hybrid,"Relaxed,Uplifted,Creative,Hungry,Talkative"
Deep-Chunk,indica,"Happy,Relaxed,Sleepy,Uplifted,Creative"
Deep-Purple,indica,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
Deep-Sleep,indica,"Relaxed,Euphoric,Sleepy,Tingly,Happy"
Delahaze,sativa,"Uplifted,Happy,Energetic,Focused,Talkative"
Denver-Maple,indica,"Relaxed,Sleepy,Giggly,Tingly,Uplifted"
Desert-Star,hybrid,"Hungry,Sleepy,Tingly,Uplifted,Creative"
Destroyer,sativa,"Energetic,Uplifted,Euphoric,Giggly,Happy"
Devil-Fruit,indica,"Relaxed,Happy,Euphoric,Focused,Hungry"
Devils-Tit,sativa,"Energetic,Focused,Relaxed,Talkative,Tingly"
Diablo,indica,"Happy,Tingly,Euphoric,Creative,Uplifted"
Diamond-Og,indica,"Relaxed,Sleepy,Happy,Uplifted,Euphoric"
Diamond-Socks,hybrid,"Happy,Relaxed,Hungry,Euphoric"
Diamond-Valley-Kush,hybrid,"Happy,Relaxed,Sleepy,Creative,Energetic"
Diesel-Duff,hybrid,"Euphoric,Happy,Talkative,Giggly,Uplifted"
Dieseltonic,hybrid,"Relaxed,Sleepy,Giggly,Focused,Uplifted"
Digweed,indica,"Happy,Uplifted,Relaxed,Sleepy,Giggly"
Dinachem,hybrid,"Talkative,Relaxed,Happy,Energetic,Giggly"
Dirty-Girl,sativa,"Uplifted,Happy,Focused,Euphoric,Energetic"
Dirty-Old-Bastard,indica,"Relaxed,Uplifted,Happy,Aroused,Creative"
Dirty-Widow,hybrid,"Uplifted,Energetic,Talkative,Tingly,Euphoric"
Disney-Blue,hybrid,"Happy,Creative,Energetic,Focused,Giggly"
Dizzy-Og,hybrid,"Giggly,Relaxed,Uplifted,Happy,Hungry"
Django,sativa,"Energetic,Uplifted,Happy,Talkative,Euphoric"
Do-Over-Og,hybrid,"Talkative,Uplifted,Creative,Euphoric,Happy"
Do-Si-Dos,indica,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
Doctor-Doctor,sativa,"Relaxed,Uplifted,Focused,Happy,Aroused"
Dog-Shit,hybrid,"Creative,Euphoric,Relaxed,Uplifted,Happy"
Dogwalker-Og,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Uplifted"
Dolla-Sign-Og-Kush,indica,"Creative,Sleepy,Uplifted,Energetic,Hungry"
Domino,indica,"Sleepy,Happy,Tingly,Uplifted,Euphoric"
Don-Shula,hybrid,"Uplifted,Euphoric,Relaxed,Talkative,Happy"
Donegal,hybrid,"Euphoric,Relaxed,Sleepy,Talkative,Energetic"
Donna-Og,hybrid,"Creative,Euphoric,Relaxed,Happy,Hungry"
Doobiebird-Daydream,hybrid,"Euphoric,Tingly,Happy,Talkative,Relaxed"
Doox,sativa,"Uplifted,Energetic,Happy,Focused,Tingly"
Dopium,hybrid,"Relaxed,Euphoric,Focused,Energetic,Uplifted"
Dorit,indica,"Relaxed,Euphoric,Uplifted,Tingly,Sleepy"
Double-Barrel-Og,hybrid,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted"
Double-Diesel,sativa,"Creative,Happy,Focused,Energetic,Euphoric"
