Strain,Type,Effects,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol
Albert Walker,hybrid,"Relaxed,Happy,Euphoric,Hungry,Focused",12.82%,219.58,219.58,0,4.63,213,0,0,0,0,0,0,3.27,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0.82,0,0,1.88,0,0,0,0,0,0
Future 11,hybrid,"Relaxed,Euphoric,Happy,Uplifted,Creative",7.67%,239.26,239.26,0,2.54,249,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,3.29,0,0,0,0,0,1.73,0,0,1.91,0,0,0,0,0,0
Purple Hindu Kush,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry",0.00%,181.03,181.03,0,7.38,198,0,0,0,0,0,0,1.1,0,1.26,0,0.52,1.17,0,0,5.81,0,0,0,0,0,1.52,0,0,2.19,0,0,0,0,0,0
Citrus Sap,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Focused",10.58%,120.17,120.17,0,1.34,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0.63,0,0,3.78,0.92,0,0,0.6,0,0.55
Dad'S Durban Pomegranate,NA,NA,9.52%,201.06,201.06,0,6.52,200,0,2.54,0,0,0,0,0,0,1.35,0,6.65,1.03,0,0,1.68,0,0,0,0,5.24,0,0,0,1.82,0,0,0,0.69,0,0
Black Widow,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Hungry",12.69%,177.61,177.61,0,8.61,167,0,3.61,0,0,0,0,0.81,0,0,0,2.02,0,0,0,1.08,0,0,0,0,9.41,0,0,0,0.78,0,0,0,0.83,0,0
Freedom,NA,NA,7.69%,101.27,101.27,0,1.4,105,0,150.11,158,0,0.95,0,1.28,0,0,0,7.68,0,0,0,1.57,0,0,0,0,0,1.38,0,0,1.43,0,0,0,0,0,0
Mendo Betty,NA,NA,11.22%,163.71,163.71,0,5.9,159,0,0,0,0,0,0.82,0.86,0,1.13,0,6.79,0.56,0,0,0.88,0,0,0,0,0,0,0,0,3.34,0.72,0,0,0.54,0,1.17
San Fernando Valley Og,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused",12.89%,232.7,232.7,0,2.75,228,0,0,0,0,0,0,0.96,0,0,0,5,0,0,0,2.99,0,0,0,0,0,0.65,0,0,5.12,1.39,0,0,0,0,0
Gorilla Snacks,NA,NA,10.02%,235.64,235.64,0,4.18,237,0,0,0,0,0,0,0.83,0,0,0,2.05,0,0,0,3.77,0,0,0,0,0,0.72,0,0,5.48,1.49,0,0,0,0,0.7
Sunset Sherbert,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",9.68%,199.46,199.46,0,1.24,204,0,0,0,0,0,0,1.21,0,0,0,0.75,0,0,0,1.82,0,0,0,0,0,0.84,0,0,3.81,1.47,0,0,0,0,0
Where'S My Bike,NA,NA,10.33%,195.59,195.59,0,0.86,199,0,0,0,0,0,0,0.98,0,0,0,0.62,0,0,0,1.74,0,0,0,0,0,0,0,0,5.45,1.45,0,0,0,0,0
Voyager 1,NA,NA,7.02%,316.6,316.6,0,11.1,323,0,0.62,0.66,0,0,0,1.08,0,0.77,0,2.42,1.26,0,0,1.89,0,0,0,0,6.85,0.97,0,0,0.85,0,0,0,0,0,0
Sour Banana Sherbert,hybrid,"Happy,Energetic,Uplifted,Euphoric,Focused",12.94%,269.85,269.85,0,1.65,266,0,0,0,0,0,0,2.18,0,0,0,6.56,0,0,0,1.56,0,0,0,0,0,1.41,0,0,2.99,0.88,0,0,0,0,0
Gnome Walker,NA,NA,10.86%,233.6,233.6,0,4.77,232,0,0,0,0,0,0,1.48,0,0,0,4.56,0.59,0,0,4.1,0,0,0,0,0,1.11,0,0,4.26,1.47,0.21,0,0,0,1.03
Sour Apple,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",10.47%,223.19,223.19,0,13.9,212,0,0,0,0,0,0.83,0.89,0,0,0,4.01,0.69,0,0,1.41,0,0,0,0,9.27,0,0,0,1.25,0,0,0,0,0,0
Medi Perpetual Haze,NA,NA,7.48%,56.99,56.99,0,2.12,57,0,107.26,111,0,0.65,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascade Chronic,NA,NA,10.18%,203.49,203.49,0,9.13,198,0,4.2,0,0,0,0,0,0,0,0,4.87,0.6,0,0,1.32,0,1.5,0,0,9.89,0,0,0,2.18,0,0,0,0,0,0.87
